> Miller, K.G. et al, 2024. Global mean and relative sea-level changes over the past 66 Myr: implications for early Eocene ice sheets. Earth Science, Systems and Society, 4(1), p.10091.
> Age (Ma)	sea level (m)
0.11734	-4.73183818
0.11861	3.790946565
0.11961	6.804694476
0.12061	0.034211645
0.122	3.03023626
0.12305	9.085577487
0.1241	-7.420594431
0.12552	3.490633112
0.12658	7.096443326
0.12761	0.973108986
0.12896	-6.972247335
0.12995	-3.970473113
0.13081	-38.55871162
0.13196	-46.44181894
0.13275	-32.51829993
0.13347	-61.56998323
0.13454331	-75.4595391
0.13769206	-85.64575453
0.140259	-54.8721396
0.1422741	-74.69599441
0.1442463	-78.25749779
0.1463246	-74.01423003
0.14821407	-69.18771579
0.15010356	-60.78631398
0.15199304	-68.22996509
0.15388244	-64.32363949
0.15618737	-72.33287668
0.15848803	-72.88576574
0.16104431	-71.94830905
0.16334497	-66.57160959
0.16564551	-60.61774866
0.16794603	-58.52344193
0.1702192	-55.84442624
0.17214234	-50.81461056
0.17414519	-48.15238114
0.17624336	-46.96707834
0.17887203	-51.95512224
0.18200115	-50.46956809
0.18511772	-50.45375916
0.18778069	-59.8047479
0.19020892	-36.68922761
0.19215646	-30.26609184
0.19485448	-34.65221834
0.19727993	-32.90794222
0.20030067	-11.08548181
0.20353412	-22.16631231
0.20693234	-16.08995575
0.21010095	-9.7350419
0.21309007	-5.708119672
0.21620813	-1.399909561
0.21908359	-21.09356571
0.2215786	-51.73080683
0.22439484	-56.62656787
0.22751963	-36.99645723
0.23036032	-44.20196095
0.23348535	-36.13258292
0.23632588	-24.0455357
0.24009074	-17.44239883
0.24314246	-18.02946806
0.24530601	-42.45463737
0.24761775	-41.59094419
0.25006456	-57.08782983
0.25226678	-63.10566975
0.25446866	-59.65510014
0.25691503	-62.22745851
0.25936202	-59.35312054
0.26205405	-59.63225875
0.2646365	-54.75663359
0.26730502	-55.03831652
0.26841718	-57.04062862
0.26975176	-48.45038138
0.27215108	-61.04136194
0.2727071	-55.31660594
0.27576611	-60.46313597
0.2777124	-48.44526418
0.27854689	-46.72855751
0.28061644	-35.57317189
0.28243492	-33.57209097
0.28400547	-22.13422199
0.28459458	-25.56645238
0.28557643	-23.85171248
0.28636191	-29.57130734
0.28722897	-30.14383499
0.28845595	-24.42641065
0.29083891	-27.00163475
0.29390684	-39.86833799
0.29786634	-34.72505318
0.30102325	-30.72512971
0.30347808	-41.01748172
0.30553708	-27.29768789
0.3076929	-25.58370895
0.30913012	-23.29745144
0.31176541	-24.44215858
0.31487991	-9.575576272
0.31607698	-21.58452924
0.31727405	-17.29563468
0.31918935	-35.88354714
0.31974877	-18.15357968
0.32300439	9.876423878
0.3237872	9.877652039
0.32652703	3.588749391
0.32904824	-2.701896648
0.32952029	-18.15214115
0.33321734	-17.57844924
0.33488793	-28.74078925
0.33730144	-69.68061398
0.33770322	-49.06872909
0.33912055	-69.11453642
0.3395255	-57.66246987
0.34033541	-65.68270118
0.34118883	-75.99527733
0.34162081	-67.97825148
0.34304047	-67.69711457
0.34465428	-73.71904756
0.34514795	-56.53239796
0.3479838	-64.56418146
0.35106951	-64.57587087
0.35327332	-69.1718822
0.35475567	-63.44338833
0.35599018	-66.88979567
0.35747246	-62.88046961
0.35895396	-86.41146187
0.36142407	-45.10405257
0.36502397	-37.64686035
0.36887877	-64.65147042
0.37246071	-40.52911732
0.37521585	-40.53335722
0.37741976	-39.38652027
0.37989935	-33.63677556
0.3823788	-38.24239414
0.38575917	-28.45791346
0.3890109	-16.93564028
0.39278327	-21.53938386
0.39504631	-4.814768672
0.39630355	-5.386510911
0.3975615	13.07699131
0.39957671	12.51377857
